ID	Others	Ireland	Poland	Belgium	Sweden	Switzerland	Denmark	Brazil	South Korea	Japan	India	France	Netherlands	Spain	Australia	Italy	Canada	United Kingdom	Germany	China	United States
2003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
2006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
2007	0	1	0	0	0	2	1	0	0	0	0	3	0	0	0	0	0	4	1	0	11
2008	9	5	0	0	3	4	0	0	0	0	0	4	3	0	4	2	2	7	0	2	33
2009	16	1	0	3	1	5	0	0	0	2	1	11	6	0	13	2	4	16	6	8	63
2010	28	3	0	0	10	4	2	1	0	1	1	11	8	2	4	9	13	20	13	7	127
2011	49	7	1	14	5	1	6	6	3	5	2	20	19	6	13	8	15	36	21	19	247
2012	63	6	4	15	11	11	7	7	15	8	10	23	30	13	25	16	52	43	25	29	416
2013	111	22	7	29	21	28	23	15	12	21	21	49	51	26	63	35	72	84	75	72	629
2014	172	32	15	34	25	32	28	23	24	42	24	63	72	45	64	69	141	117	102	80	977
2015	257	45	22	52	58	42	49	36	35	48	37	98	77	76	116	92	161	184	174	164	1307
2016	394	64	35	72	82	57	83	61	50	78	59	136	138	112	180	136	242	247	240	251	1721
2017	494	102	50	81	92	107	75	107	76	113	93	183	192	168	257	205	293	346	354	412	2202
2018	578	101	51	131	130	124	130	123	125	182	124	247	241	189	296	271	369	374	433	740	2724
2019	739	153	102	144	158	155	174	142	153	246	170	285	330	301	434	353	437	562	578	1139	3307
2020	905	169	185	202	185	200	210	250	283	314	279	370	367	375	533	490	571	669	714	1711	4027
2021	1023	192	252	215	258	248	238	310	430	387	420	452	465	507	563	636	632	733	906	2514	4187
2022	1124	182	230	240	220	244	245	281	420	387	505	424	441	441	544	615	547	656	836	3428	4016
2023	146	22	35	35	31	32	37	42	79	52	82	50	66	78	101	125	92	86	135	592	644
