Places	NumberOfPublication	Regions
China	869	Asia
United States	254	North America
Italy	88	Europe
Spain	53	Europe
India	52	Asia
Germany	52	Europe
United Kingdom	50	Europe
France	44	Europe
Poland	37	Europe
Japan	36	Asia
Australia	35	Oceania
South Korea	34	Asia
Iran	33	Asia
Canada	33	North America
Others	32	Others
Netherlands	31	Europe
Romania	18	Europe
Pakistan	17	Asia
Saudi Arabia	17	Asia
Denmark	15	Europe
Russia	15	Europe
Brazil	15	South America
Sweden	14	Europe
Singapore	13	Asia
Finland	13	Europe
Greece	13	Europe
Ireland	13	Europe
Mexico	13	North America
New Zealand	11	Oceania
Egypt	10	Africa
Turkey	10	Asia
Israel	9	Asia
Malaysia	9	Asia
Belgium	9	Europe
South Africa	8	Africa
Austria	8	Europe
Portugal	8	Europe
Switzerland	7	Europe
Thailand	6	Asia
Norway	6	Europe
Hungary	5	Europe
Malta	4	Europe
Serbia	4	Europe
Costa Rica	4	North America
Chile	4	South America
Algeria	3	Africa
Nigeria	3	Africa
Bangladesh	3	Asia
Indonesia	3	Asia
Kazakhstan	3	Asia
Lebanon	3	Asia
Qatar	3	Asia
Uruguay	3	South America
Armenia	2	Asia
Iraq	2	Asia
Jordan	2	Asia
Sri Lanka	2	Asia
Estonia	2	Europe
Slovakia	2	Europe
Slovenia	2	Europe
Argentina	2	South America
Colombia	2	South America
Angola	1	Africa
Ghana	1	Africa
Kenya	1	Africa
Cambodia	1	Asia
Czech Republic	1	Europe
Fiji	1	Oceania
Ecuador	1	South America
